Puan	Yorum
1.0	Çok güzel oyunları da kısmen kaldırıyo ama sıkıntı yaratmıyo pili çok fazla gidiyor güvenin fiyat. Perfonmans gold yakısıyo benim tavsiyem
1.0	Smart bullet programini devre dışı biraktiginizda batarya performansi %40 artiyor. Program ana sayfadaki lg healt vs. olan programlarin oldugu bölüm. Ayrica lg healt uygulamasinida kaldirirsaniz bataryanizin daha uzun gittiğini göreceksiniz. 1 günü çok rahat cikarabiliyorum. telefon 3 senelik. batarya 6 aylik deji batarya.
1.0	Ürünü HB dan aldım.Hemen geldi.Babamiçin aldım.Telefonun sesi çok güzel.Şekli ve ağırlığıda harika.Yalnızca konuşanlar için süper.Özellikle sesinin yüksek çıkıyor olması harika.Keşke bir kaç duvar kağıdı daha olabilseydi.Çok teşekkürler
0.0	iş olsun diye almak isteyen var ise düşünmeden alsın,lakin benim param çok ve gidip almam.anlayan anladı..!
1.0	Mükemmel makine fiyat performans harika
1.0	Telefon 602 serisi kore üretimi ve android 6.0. olarak geldi. Kamera kalitesi ekran kalitesi vs. Sorun yok herkes belirtmiş zaten. ısınma yok denecek kadar az oyun denemedim. Kalinlik olarak pek rahatsiz edici degil yanlar ince oldugu için gayat zarif duruyor. İlk aldiğim gün galiba biraz fazla karıştırdıgım için dokunmatikte alt kısımda algılamama oldu yeniden başlattıktan sonra düzeldi şu an sorun yok. Arttirilabilir hafiza olmasi benim için önemli o kadar para verip hafıza sıkıntısı yaşamanin pek akıl karı oldugunu düşünmüyorum. Tereddüt edenlere tavsiye ederim
0.0	Bataryaperformansı açısından yetersiz,ayrıca geceden bıraktığınız telefon sabaha pil boşalması yaşayabiliyor.Belki de bana sıkıntılı olan denk geldi,daha 6.ayında olan telefon geç şarj oluyor çabuk boşalıyor.Servise göndereceğiz bakalım ne diyecekler.
1.0	Çok araştırdım. A50 - Mate 20 - A9 arasında çok düşündüm. Şuanda orta düzeydeki en iyisi bu. 1 haftadır kullanıyorum. Benim için önemli bir kaç noktaya değineceğim. Şarjı, günde 40 telefon görüşmesi yaparsan akşam evde 2-3 saat sosyal medya takilirsan 2'nci günün gecesi yatarken şarja takarsin. Elinden düşürmezsen oyun da oynarsan 1'inci günün gecesine kadar yetiyor. Benim de oyunla işim yok zaten. Kameralar gayet güzel. Tasarım iyi. Yüz tanıma güzel çalışıyor. Biraz büyük gibi gelmisti. 2 günde alistim. Şu Samsung orginal zil sesi konusunda bu kadar mı kötü olur bu türlü anlamıyorum. Özetle bana göre parasının hakkı bir telefon...
0.0	Büyük beklentilerle beklediğim ürünün özellikleri açıklanınca büyük hayal kırıklığı yaşadım ve almaktan vazgeçtim. Ip68 yok, Stereo hoparlör yok, 4k 60fps video yok. Samsung S10e bu cihazdan daha iyi.
0.0	!!!!DİKKAT!!!!Ürün ilk çıktığı zaman almıştım. Dış tasarım olarak çok hoş görünse de sakın kanmayın . Bootloop , Ghost screen hangi sorunu ararsanız var. 4. ayında anakartını yaktı serviste değiştirdim . Ghost screen sorunu hala devam ediyor , şarj desen aldığım ilk günden beri yanımda harici batarya ile geziyorum 2 batarya anca yetiyor. Hücresel veride şarjı su gibi tüketiyor. LG yönetimi sağolsun bizi 2. sınıf dünya vatandaşı olarak gördüğünden tüm sorunlu serisini Türkiye de piyasaya sürmüş . Kronik bir sorun olmasına rağmen telefonlarını geri bile toplatmıyor. LG pişmanlıktır. Bir daha asla satın almam yakınlarıma da aldırmam.
0.0	lg g5 lerde kronik ghost screen hatası var bunu araştırın öyle alın ben aldıktan 1 ay sonra oluşmaya başladı genellikle geceleri rastladığım arka planda silik olarak ikon lar gözüküyor ileride artarmı bilmiyorum yoksa telefon işlevsel olarak iyi
1.0	Harika bir indirim. Her yerden ucuza satıyor şu an. Eğer almak istiyorsanız kesinlikle bu fırsatı kaçırmayın. Türkiye’de alınabilecek en mantıklı telefonlardan biridir bu. Dilerseniz bekleyip 128 GB modelin indirimle alabilirsiniz fakat girip girmeyeceği belli değil.
1.0	herşey ile mükemmel. bu fiyata bu özelliklerde alınabilecek tek telefon
0.0	A serisi E serisi her turlu farkli farkli cihazlari cikartiyolar ama bi halta yaramiyor kullanmisoldugum cihaz a 50 dokunmatik ekran o kadar hassaski cebimde ekran aciliyor bi bakiyorum farkli farkli yerlere girmis bu nedir yaa bir kere daha samsung beni hayal kirikligina ugratti maalesef ben sunu anladim samsung'un amiral gemisinden baska telefonunu almayacaksin gercekten orta segment telefonlarindan memnun kalamadim ne yalan soylim
1.0	HB Burada farkı ;
0.0	Berbat bir telefon internette gezinmek bir eziyet, programlar kasıyor. bir şarj konusunda iyi gerisi çöp. aynı fiyata Mate 20 alıp denemediğime pişmanım.
0.0	2 yıl kullandıktan sonra mavi ekran oldu. Kesinlikle tavsiye etmiyorum..
1.0	ürün, firma, alış veriş gayet başarılı, hızlı ve sorunsuz.
0.0	Kullanılmış ürün gönderildi.
1.0	Arkadaşlar fiyatına göre çok iyibir telefon çok yüksek performans beklemeyenlere WhatsApp instagram face gibi programlarda kasma ve donma yok alalımda 3 ay oldu şimdilik bir sıkıntı yaşamadım
0.0	Telefonu beğenmedik, parmak izi düzgün çalışmıyor, 3 saniye de ancak açılıyor ayrıca çok zor tanıyor parmak izini, Menülerdeki yazılarda bazı harfler gözükmüyor kısaltma olarak görünüyor. güncelleme de yaptık yine aynı, örnek olarak: &quot;Pil yüzdsnin kullanm. alanı&quot; bazı yazılar bu şekilde telefonda, menülerde,açıklamalarda vs..
1.0	Ürün ulaştı ancak şunu belirteyim J7 pro kullanıcısı olarak j7 pro nun tasarım ve kalitesinin altında kalmış. Son ses müzik dinlerken j7 pro nun yanında eziliyor.Tek artısı kamera, büyük ekran, batarya ve uygun fiyat olması onun haricinde çok beklentiye girmeyin.Samsung A serisine göre çok kaliteliSamsung J serisine göre çok altında 2 sinin arasını M serisi ile tamamlamışlar.
0.0	Aldığıma pişman oldumKonuşurken karşı tarafın sesini zor duyuyorsun heleki biraz gürültülü bir ortamsa imkansız Siz siz olun bilindik markalardan şaşmayın derim Yıllardır samsung kullandım keşke gene samsung alsaydım
1.0	Hızlı ve güvenli
1.0	Siparişim sonrası 15. saatinde elime geçti. Hızlı gönderi için teşekkürler. Telefon için ise söylenecek bir laf yok. Tam bir F/P ürünüdür. Herkese tavsiye ederim. Çürük şeylere anladınız siz onu para vermeye gerek yok.
1.0	Siteden satın aldığım ürün tam istediğim zamanda ve istediğim şartlarda elime geçti bu konuda site yönetimine teşekkür ederim. Lg G4 telefonuma gelince artık bitmek üzere olan eski telefonumdan sonra ilaç gibi geldi. Hızlı, hafıza yeterli, 4,5 G sorunsuz, şarz durumu çok iyi çabuk dolup geç boşalıyor en azından günü tamamlıyor bu şartlarda çok çok iyi. Kesinlikle ve şiddetle tavsiye ederim. 
0.0	ÜRÜN HAKKINDA PROBLEM YOK FAKAT ÜRÜNÜN İÇERİSİNDE KULAKLIK + SİM KART AÇMA APARATI KONULMAMIŞ BU GERÇEKTEN KABUL EDİLEMEZ BİR DURUM BU YÜZDEN DÜŞÜK VERİYORUM
0.0	büyük pişmanlık.Servis 0,kılıf vs.. aksesuar bulamassınız. elinizde patlar
0.0	Parasına göre telefon. Bir kaç uygulamadan sonra kapsama çok. Can sıkıyor yavaş telefon kamera kötü. Ama alo derim batarya iyi olsun kamera aramam hız aramam ekran büyük olsun derseniz bu parayı eder. Ama tipine bamıpda telefonun beklenti içinde olmayın sakın üzülürsünüz. Ne kadar para o kadar köfte
1.0	çok begendim severek kullanıyorum, sarj bütün gün yetiyor sıkıntı yaşamadım hiç,umarım bu şekilde gitmeye devam eder. 1 aydır kullanıyorum.
1.0	Hepsiexpress çalışanları hariç güzel kutulanması iyiydi
1.0	1 yıldızı özellikler arasında NFC samsung pay gösterilmesine ve de cihazda bu özelliğin olduğunu düşünmeme karşın gizlenmesi nedeniyle kırdım. Samsung bu özelliği güncellemeyle kullanıma açmalı. Fiyat performans bakımından oldukça güzel bir cihaz. Batarya, kamera, ekran, görünüm oldukça tatminkar.
1.0	Çift tık ile açma, yüz kilidi, parmak izi, glance screen, dev gibi pil, kibar bir duruş. Sert ve parlak bir plastik gövde var. Bence çok beğendim. 2 bin çok iyi fiyat.
1.0	Telefonda bir problem yok ancak firma bana ne kulaklık gönderdi ne de kulaklık aparatı. Üstelik gönderileceği yazıyordu.
1.0	İphone 7 den geçeceğim 11 e yeni modellerini bekledim xr beğenmemiştim iphone 7 den farkı yok diye ama iphone 11 cidden olmuş ekran olarak note 10 dan daha iyi canlı sadece kağıt üstünde farklı şeyler yazıyor
1.0	Ilk defa internetten telefon aldim. teredutlerim vardi. HB ya güven gerisini merak etme. Ürün elime 3 günde geldi. kutulu ve etiketli. hiç açılmamış. EVO garantili. Batarya 3000 mah. sarj cihazi turkiye uyumlu. kullaklik icinden çıkıyor. android 6.0 yukseltme hemen oldu. ime numarasını kontrol ettim kayıt yapılmış. cihaz sağlam inşallah ilerde de sorun cikarmaz.
1.0	Ürün süper ve kargo 24 saat içinde elimde oldu.teşekkürler...
0.0	huawe p30 lite alın 200 300 fazla verip.
0.0	samsung telefonlarından memnundum. anneme aldım kolay kullanımı var, tuşları büyük, ekranı yalnız resime göre daha küçük geldi. sadece konuşmak önemli diyen alabilir...
1.0	hızı.rami.hafizasi.kamerasi.cok iyisağlam kasa kibar tasarım hafif ekran arayüzügüzelkasma yoksadece hoparlör ses kalitesi geliştirilebilirfiyatını hakediyorLG g4kullandımonun sesi mükemmeldiama donma ve sars süresi problemli idibunu 3 gün kullandığım oluyor
1.0	3 gün oldu telefonu alalı. Çok memnunum telefon çok iyi bende almadan önce kararsızdim ama fiyatına göreözellikleri ve performansı efsane. Sarjida sürekli uğraşmama rağmen bir gün dayanıyor. Paketlemede özenli yapılmıştı. Cihaz elime sapasağlam ulaştı. Estekno satıcısına ve yurtiçi kargoya teşekkür ederim.
1.0	tşk...hızlı kargo iyi ürün..
1.0	Fiyatına göre alınabilecek en güzel telefon kullanım ve şıklığı gerçekten harika alacak olana tavsiye ederim
0.0	ürünün jarjı 4000 mAh lik bir performans yok. öyle olunca note 7 aklımdan çıkmıyor. kargosu berbattı 4 günde elime ulaştı ürün .
0.0	Arka ana kamera'nın çekimi çok kötü. Net değil, ayrıca oda ortamında fotoğrafta noise kumlanma iyileştireceğim derken fotoğraflarda acayip bir oynama yapıyor. İnsan yüzlerinde bu etki çok bariz belli. Kamerası için bu telefonu düşünenler internette yaılan şikayetlere bakmadan karar vermesinle. Batarya, şarj değil direkt kameranın kalitesi üzerine yorumlar. 2018 model bir telefona hiç yakışmayan bir kamera performansı var. 
1.0	Arkadaşlar yaklaşık 2 haftadır kullanıyorum ürün fiyatına göre gayet iyi. Bence bu paraya alınabilecek en iyi telefon diyebilirim. Kamera performansı 10 üzerinden 8 ekran boy oranı çok hoş. Şarjı bir günü rahat çıkarıyor. Olumsuz olan tek yanı Kasası diyebilirim Plastik hissiyatı veriyor ama iki defa düşürememe rağmen çizik dahi oluşmadı. Ve 2 adette arkadaşlarıma sipariş verdim gören çok beğeniyor. Gönül rahatlığıyla satın alabilirsiniz.
1.0	arkadaşımın tavsiyesi üzerine araştırma yaptım yorumlara istinaden de aldım 3 aydır kullanıyorum.. pişman oldum... ama aldığıma değil neden daha önce almadigima... harika bir telefon&#128513;
1.0	sorun olmadı
0.0	eşime ve kendime 2 tane birden aldım. 3 aydır kullanıyorum.telefon uçuyor. hızlı. hafıza iyi. ama çok temel bir konuda zayıf. çekmiyor. Samsung varken çok güzel çeken evimde telefon çekmiyor. oğlumun telefonu farklı marka, onun çekişinde bir farklılık yok. bizimkiler çekmiyor. 3 aydır telefonla konuşmak için bahçeye çıkıyorum. arıza olsa garantiye gönderirsin. arıza yok çekişi zayıf. keşke almasaymışım.
1.0	ürün 2 günde elime ulaştı. tüm özellikleri açısından tamamen beklediği gibi geldi fakat 4000mah bataryaya sahip olmasına rağmen mah/performans oranı biraz beklentimin altında kaldı bunu eski telefonum samsung j5prime'a kıyaslayarak söylüyorum. bu ürünü tercih etmeyi düşünen herkes gönül rahatlığıyla alabilir. görüşme esnasında ses çıkış noktası yukarıya dönük olduğundan biraz farklı geliyor ve alışmak gerekiyor zamanla alışırız umarım.
0.0	güya hızlı kargo deniliyo ama bana tam 6 günde geldi bunun neresi hızlı? ayrıca pil ömrü çok düşük pil 1 günü zor çıkartıyor hatta bazen çok oyun oynarsanız çıkartmıyor bile. parmak izi okuyucusu kafasına göre bazen okuyor bazen okumuyor. almayın benim gibi pişman olursunuz.
0.0	X ile farkı yok o yüzden beni cazip etmediX devam
0.0	Bu Telefonu Alıp Paranızı Çöpe atmayın her yeri plastikiki - üç yıl sonra sistemsel yavaşlamalar başlar klasik Samsung taktiği
1.0	Herseyiyle 10 numara bir cihaz tartışmaya gerek yok hiç düsünmeden alabilirsiniz bu fiyata kaçmaz hepsiburada ya tşk
1.0	Telefon sağlam ve eksiksiz olarak bir günde elime ulaştı.Hiçbir sorunu yok.Teşekkür ederim.
1.0	harika bir satıcı,
0.0	Type-C yok...Hızlı Jarz yok...Suya ve Toza dayanım yok...Ekran Gorilla Glass mı belli değil... Ve en önemlisi optik görüntü sabitleyici yok... 2016 Versiyonunda dahi vardı. Kaldı ki bende 3 Senedir kullanıyorum. Olmamıs Samsung...
1.0	Fiyat-performans anlamında iyi bir telefon. Ekran kalitesi, ön ve arka kamera da benim için yeterli. Kasa metal olabilirdi ama siyah modelin arka kapağı renk geçişleri açısında gayet hoş. Parmak izi okuyucu biraz yavaş. Yüz tanıma sistemi daha kullanışlı. Ürün gönderimi ile ilgili paketleme güzel, sadece 'bugün teslimat' seçeneğinde belirli saat aralığı seçmeme rağmen belirtilen süreden yaklaşık 2 3 saat sonra geldi. Bunun haricinde genel olarak memnunum.
1.0	Uzun süre kullanma imkanım olmadı ama ilk izlenimim iyi. Kasası kaliteli ve sağlam görünüyor.
1.0	Daha öncede Huawei modelleri kullandım ve memnunum. Gerçekten çok iyi telefon incecik elde güzel tutuşu var, telefon akıyor. Yaman İletişime teşekkür ederim ilgilendiler, kargoda 1 günde teslim etti.
0.0	Parmak izi okuyucu tanıttığımız parmaklar dışındaki parmakları okuyup kilit açıyor. Ürün teslimatı ile ilgili sorun yaşamadım, satıcı güvenilir ama telefonun güvenilirliği şüpheli.
1.0	sırf uzun süre giden bataryası için bilealınabilir.
1.0	uzun yıllar sony kullanan biri olarak cok yeterli bir telefon,bu fiyat için özellikleri tatmin edici
1.0	Bu fiyata A9'da olmayan Exynos 9060 S9 Plus Exynos 9810 kullanıyor. bu telefonda. Kamera konusunda çıkmadan bir şey diyemem ama performans olarak sıkıntı yaşatacağını düşünmüyorum.
0.0	Cihaz zamanında teslim edildi ancak şarj girişi arızalı çıktı.Dış görünüş olarak yeni bir cihazdan farkı yok ancak şarj girişi gibi en kolay kontrol edilebilecek bir temel fonksiyonun arızalı olması guvenimi sarstı açıkçası
0.0	Eşime aldım telefonu 2 yıl kullandık mavi ekran hatasıyla telefon birden çöp oldu ilk zamanlar güzeldi ablama tavsiye ettim kuzenime tavsiye ettim inanın 2 yıl geçti onlarda da aynı hatayla telefonlar çöp oldu böyle birşeyi LG gibi bir firmaya yakistiramadim benim için LG bitmiştir.Sakın almayın tavsiye etmiyorum paraniz çöpe gitmesin.
1.0	Paketleme ve teslimat süresi oldukça iyiydi. Teşekkürler.Üründe herhangi bir sorun yoktu.
0.0	2 yıl kullandım şimdi telefon açılmıyor. Kronik LG logosunda takılma problemi var. Anakart değişmeden çözüm olmuyor ki ona da 6 aydan fazla garanti vermiyorlar.LG güzel telefon yapıyor ama garantisi bitince çöp oluyor.
1.0	Harika, teşekkürler.
0.0	urunle birlikte gönderilen Türkiye uyumlu hızlı şarj adaptoru hizli sarj etmiyor.
0.0	yavas sarj oluyor samsungtan uzak durmanizi tavsiye ederim
1.0	Kargo acısından biraz sıkıntı yaşadım zaman bakımından istenilen saatin dışında geldi gerisinde sıkıntı yoktu oyuzden 4 yıldız 
1.0	küçüğüm ama alacağımkirimizi renk çok ama çok yakisiyorapple iyi is becermis fiyatına uygun
1.0	TELEFON İKİ GÜNDE ELİME ULAŞTI. SIKINTI YOK, GÜZEL TELEFON. HEPSİ BURADA VE BİTTİBİTİYOR SATICISINA TEŞEKKÜRLER.
0.0	Telefon güzel ama, kargo baya yavaştı
0.0	ürünü çok beğenerek kullanıyordum fakat kamerası için bu kadar reklam yapılan ürünün kamerası buğulu ve net cekmiyor.güncellemeden sonra kasma cok var. Yani kamerası için aldığım bir üründü hiç memnun değilim
0.0	4 YIL İLK YILKİ BATARYAYI DAHİ DEĞİSTİRMEDEN ÖZENLE KULLANIP GAYET MEMNUN KALDIĞIM LG G3 BİR ANDA KAPANMAYA BASLAYINCA VE BUNUNDA NEYAZIKKİ KRONİK BİR {{{ANAKART}}}} SORUNU OLDUĞUNU ÖĞRENİNCE..LG BİTTİ BENİM İÇİN
0.0	Ekranın büyüklüğü, ışık değeri, one ui arayüz yazılımı, batarya beğendiğim tarafları.Üç kamera olması yanıltıcı olmasın, hakkını vermiyor, gündüz çekim idare eder, gece çekim çok kötü, ön kamerayı da beğenmedim. Kameraya önem verenler almasın.
1.0	2 haftadır kullanıyorum. Fiyatına göre gayet başarılı bir cihaz. Aynı özelliklerle başka bir markaya sadece isminden dolayı 2500 liradan fazla ödemek zorunda kalırsınız. Isındığını görmedim. Dahili hafızası 64 GB. TTEC siyah kılıfla çok şık duruyor.
1.0	Çok kullanışlı bir telefon tavsiye ederim ????
0.0	Samsung A50 almak isteyenler kesinlikle iyi düşünsün fotoğraf performansı iyi değil ben aldığıma çok pişmanım. Samsung olsun dedim aldım. Yakın çevremdeki kişilerin almayın uyarılarını dinlemeyip aldım. Bataryası da uzun gitmiyor. Fiyat performans açısından düşünenler, aynı fiyatlarda başka telefon alabilir.
0.0	Ikinci taksitini odemeden telefon sarj olmuyor. Herhangi bir yere dusmedi darbe almadi. En kotu Samsung bundan iyidir. 3 yildir kullandigim bunun yari parasina aldigim samsung c5 telefonuma geri dondum.
0.0	Huawei nin mevcut modellerine güncelleme gelmeyecek.Yeni modellerine de Google ve Android yasaklı.Marka için kötü bir durum düzelmez ise.Son kullanıcı olarak dikkat edilmeli :
1.0	10 numara birtelefon. Buradan alış veriş ayrı bir zsvk. Te&#226;kkürler Hepsiburada.
1.0	Telefonu 1 aydır kullanıyorum gerçekten çok güzel bir telefon performans süper şarj süresi süper ses güzel kamera fiyatına göre iyi ekran süper sadece kargo süresi uzadı hepsiburada sorunu çözdü hepsiburada ya ve huawei ye teşekkürler
1.0	Telefonu annem için aldım ve bazı deneyimlerimi sizinle paylaşmak istedim burada. Parmak izi okuyucusu sıkıntılı ama yüz tanıma bu açığı kapatıyor. Iphone kullanıcısıyım ve iPhone telefonlarda ki akıcılığı bu telefonda beklemeyin. Ufak tefek kasmalar oluyor. Kilit ekrandan ana ekrana geçerken daha çok hissedersiniz bu kasmaları ama rahatsız edici seviyede değil. Kamera performansı ne iyi ne kötü, beklentiniz yüksek olmasın ama iş görür. Kullanması zevkli, amoled ekran çok güzel. Şarj 1,5 gün rahat gidiyor. Hızlı şarj başarılı. Olumsuz yorumlara aldanmayın. 1 yıldızı da parmak okuyucundan kırdım.
0.0	görüntülü arama yapamıyoruz kalan şey ehhh.
0.0	arkadaşlar cihaz gerçekten güzel kamerası verimli hızı çok iyi sadece içinden çıkan kulaklığı dandik ve arka kapağı cam değilbu parayı hakeden bir telefon akınabilir
0.0	telefon fiyatına göre bile kesinlikle güzel bir telefon değil. kullanımı zor eksiklikleri fazla. bu telefon telefona fazla para vermek istemeyen beni idare etsin yeter düşüncesinde olanlara hitap ediyor. tavsiye etmeyeceğim bir telefon.
1.0	Buürünü kötü bile olsa sırf yerli teknolojiye destek olmak için alacaktım ama telefon bide güzel çıktı hoşuma gitti bu da balı kaymaği oldu tebrikler Vestel
0.0	arkadaşlar ekranın sağ üst köşesi 3 defa yandı.Kesinlikle tavsiye etmiyorum.2 yılda beni 2 yıl yaşlandırdı bu telefon.
0.0	Arabası olup navigasyon kullanmayan arkadaşlar pek anlayamıyor. Bu telefon asla 5 yıldızı hak etmiyor. Bizi yabancılara mahkum ediyorlar. Telefonun gps navigasyonu çok kötü. Akıllı olmayan eski telefonların bile navigasyonu daha iyi. Bana gönderilen konuma hiçbir zaman direkt ulaşamadım. Ara ara gps aranıyor uyarısı veriyor.
